name;localisation;price;area;rooms
Studio z widokiem na Ostrów Tumski i katedrę; Stare Miasto;2500;27.0;1
Apartament premium z pięknym widokiem na Odrę; Psie Pole;5200;62.0;3
Umeblowane, idealny stan, centrum.; Krzyki;2000;31.0;1
Mieszkanie, 67 m², Wrocław; dolnośląskie;2600;67.0;3
Rozkładowe 2 pokojowe z parkingiem , ok. Korony; Psie Pole;2400;54.0;2
Klimasa, Balkon, Umeblowane, Taras; Krzyki;2700;42.0;2
Wolne Od Zaraz!; Krzyki;2300;50.0;2
Piękne mieszkanie Zwycięska + balkon; Krzyki;3500;55.03;2
Gądów - Bystrzycka | 25m2 | 1pok | balkon 6m2 |; Fabryczna;1700;25.0;1
Apartament na Starym Mieście; Rynek;2700;45.0;2
Apartament 46 m Nowe Miasto Różanka; Psie Pole;3200;46.0;2
2-pokoje, bez pośredników, Krzyki-Jagodno; Krzyki;2600;38.0;2
Swojczyce -2 Pokoje -Ogródek-Siłownia-Olimpia Port; Psie Pole;3000;47.0;2
!!! Nowa kawalera - blisko rynku, ul. Zdrowa !!!; Stare Miasto;3000;37.0;2
Nowy, komfortowy 3 pokojowy apartament; Fabryczna;4500;68.0;3
Mieszkanie 115 m2, Psie Pole, lekcyjna; Psie Pole;3600;115.0;5
Komfortowe 2-pokojowe mieszkanie na Krzyckiej; Krzyki;3500;48.0;2
2 pokojowe / Partynicka / Bezpośrednio; Krzyki;2600;52.0;2
REZERWACJA Browary Wrocławskie, 3 pokoje, parking; Śródmieście;3800;56.0;3
2 pokojowe mieszkanie z balkonem i garażem; Psie Pole;3500;54.0;2
Mieszkanie - 2 pokoje | Żmudzka - Milart; Psie Pole;2500;40.0;2
Komfortowy apartament - Do Wynajęcia Od Zaraz; Psie Pole;2000;22.06;1
Nowe przestronne 2 pokojowe 42m + 2 garaż Maślice; Fabryczna;2700;42.0;2
klimatyczne mieszkanie w poniemieckiej willi; Krzyki;4150;58.0;2
Apartament - Wrocław ul. Grunwaldzka 32 kawalerka; Śródmieście;2550;28.0;1
Dmowskiego-2pok-2balkony-Księca Witolda-Kępa Miesz; Śródmieście;3200;39.0;2
Wyjątkowy apartament z prywatnym tarasem 40m2 w Ce; Fabryczna;15500;150.0;3
Przestronne mieszkanie 3-pok. z balkonem; Psie Pole;3300;63.0;3
Do wynajęcia mieszkanie na ul. Wojaczka; Psie Pole;2500;54.0;3
Komfortowe 54m2 na Odrą, 14 min spacerem do Rynku; Stare Miasto;4500;54.0;2
Mieszkanie 2-pok | Nowe | Balkon | Husarska; Krzyki;3000;45.0;2
Trzypokojowe mieszkanie w kamienicy/Grunwaldzka; Śródmieście;3400;91.55;3
Luksusowe 4 pokoje, Nowy Biskupin, Taras, od Zaraz; Śródmieście;7900;120.0;4
mieszkanie 4 pok Grabiszynek; Fabryczna;10500;106.5;4
Mieszkanie 2 pokojowe z balkonem Sołtysowice; Psie Pole;2800;50.0;2
2 pokoje, Ołtaszyn, Zwycięska, Kawalerzystów; Krzyki;2600;44.0;2
⚜3 Niezależne Pokoje/ Umeblowane/Odświeżone⚜; Stare Miasto;3300;50.0;3
2-pokojowe mieszkanie w sercu Wrocławia; Stare Miasto;3200;50.9;2
2pok z balkonem i garażem | ok. Zakładowej; Śródmieście;2800;43.0;2
3-pok | Ogród | Garaż | Widok na rzekę | Na Grobli; Śródmieście;3500;50.0;3
2pokoje*Od sierpnia*Odra Tower*Podwale; Stare Miasto;3000;35.84;2
Mieszkanie na wynajem od października Dyrekcyjna 1; Krzyki;2150;17.0;1
2 Pokoje Z Ogrodem W Wysokim Standardzie; Krzyki;3500;43.0;2
Przestronne, jasne i rozkładowe mieszkanie na Gaju; Krzyki;4000;73.25;4
3 pokoje | balkon | garaż; Psie Pole;2900;56.0;3
3 pokoje na Ogrodach Hallera!; Krzyki;4600;60.0;3
3 pokoje po generalnym remoncie przy Aquaparku; Krzyki;2990;55.0;3
Mieszkanie z ogródkiem, parter, 2 pokoje, Jagodno; Krzyki;3000;40.0;2
Rynek/Uniwersytecka, nowoczesne 35mkw; Rynek;2300;35.0;2
Mieszkanie na Olimpia Port; Psie Pole;2200;43.0;2
Mieszkanie 52m^, bez pośredników; Psie Pole;2900;52.0;2
Klimatyczne Loftowe Mieszkanie; Krzyki;3500;33.0;2
2 pokoje/55 m2/ul. Zatorska/ >Rezerwacja; Psie Pole;2600;55.0;2
Apartament| Blisko Magnolii|Dostępne od 01.08.2022; Stare Miasto;2100;24.0;1
4 pokoje, balkon, klimatyzacja, pierwszy najem; Fabryczna;6900;90.0;4
Od zaraz ! Kawalerka w centrum Wrocławia; Śródmieście;2200;32.0;1
Mieszkanie 3 pokojowe ul. Strońska na Gaju; Krzyki;3200;62.0;3
Mieszkanie 43m2 w Śródmieściu - świeżo po remoncie; Śródmieście;4000;43.0;2
Przestronna kawalerka koło Sky Towera; Krzyki;3000;32.0;1
Duże 2 pokojowe mieszkanie na Złotnikach; Fabryczna;1800;41.0;2
3 pokoje, balkon, ul.Bajana; Fabryczna;2700;60.0;3
2 Pokoje*Ul.Traugutta*Rozkładowe*Balkon; Krzyki;3200;52.0;2
Angel River 2 pokoje, garderoba, garaż, SPA&GYM 0%; Stare Miasto;3500;48.0;2
Nowe 3-pok. mieszkanie z widokiem - ul. Kamienna; Krzyki;4000;63.0;3
Mieszkanie 115 m2, Psie Pole, lekcyjna; Psie Pole;3600;115.0;5
Przestrzenne mieszkanie w Św. Katarzynie; dolnośląskie;2900;73.0;2
4 pok. apartament 120m2 Angel Wings, ul. Walońska; dolnośląskie;12000;120.0;4
3 pok. 67m2 Bulwar Staromiejski, Plac Jana Pawła; Śródmieście;6000;67.0;3
Mieszkanie dwupoziomowe w centrum na wyjanem.; Krzyki;3000;65.0;2
Ślicznie mieszkanie 3 pokojowe z wielkim balkonem; Śródmieście;2950;64.0;3
3 pokoje 62m2, osobna kuchnia,balkon,Bacciarellego; Śródmieście;3200;62.0;3
Dwa pokoje, Piękna, balkon, w cenie parking; Krzyki;2600;46.0;2
Mieszkanie, 55 m², Wrocław; Psie Pole;4500;55.0;3
Wrocław-Luksusowy penthouse do wynajęcia 4 pokoje; Psie Pole;7000;176.0;4
Nowa Kawalerka Nadodrze / New Studio in Downtown; Nadodrze;2400;27.0;1
2M / 48m / salon + otwarta kuchnia / Centrum; Stare Miasto;3000;48.37;2
Mieszkanie 3-pokojowe, miejsce garażowe, strzeżone; Fabryczna;3000;69.0;3
Wrocław Gagarina Muchobór 3 pok. 68m; Fabryczna;3100;67.0;3
6 pok. miedzy rynkiem a uniwersytetem / English; Rynek;4600;90.0;6
mieszkanie 2-pokojowe, ul. Tyrmanda Wrocław; Fabryczna;2300;52.0;2
Komfortowe 2-pokojowe mieszkanie na Krzyckiej; Krzyki;3500;48.0;2
Trzypokojowe - Gaj - Polecamy!; Krzyki;3999;62.5;3
ROZKŁADOWE 3 pok w pobliżu Magnolii ul.Białowieska; Białowieska;2950;54.4;3
Ferio Gaj 2 pokoje 49m od zaraz ul. złotostocka; Krzyki;2600;50.0;2
3 pokoje/osobna kuchnia/miejsce parkingowe/centrum; Krzyki;3600;61.0;3
Duża kawalerka, Strzegomska, centrum; Stare Miasto;2150;37.0;1
Piękne mieszkanie Kępa Mieszczańska Stare Miasto; dolnośląskie;4999;65.0;3
Nowe Miasto Różanka; Psie Pole;5500;75.0;3
Klimatyzowane, 2-pok. mieszkanie z balkonem; Krzyki;2500;34.0;2
Mieszkanie 3 pokojowe Ul. Juszczaka Wrocław; Fabryczna;3500;65.0;3
Mieszkanie 58 m2 w cenie kawalerki - Muchobór Wiel; Fabryczna;2400;58.0;2
Apartament w Którym Odpoczniesz Bezpośrednio Polec; Śródmieście;3800;45.0;2
Planty Racławickie 40 m2 z pięknym ogródkiem; Fabryczna;4500;40.0;2
Stare Miasto*2 Pokoje 50M * Ul.Ziemowita*Garaż; Stare Miasto;3400;50.0;2
Apartament, Port Popowice, Parking, Taras; Fabryczna;4400;51.0;2
3 pokoje w mieszkaniu centrum Wrocław wynajmę; Fabryczna;3600;60.0;3
Mieszkanie 3 pok., piwnica, umeblowane - wynajem; Psie Pole;3000;54.5;3
3 pok#balkon#garaż#karłowice#ok Placu Kromera; Psie Pole;4500;98.0;3
Kawalerka oś. ZŁOTNIKI - Kościańska 37 bez pośred.; Fabryczna;1950;29.0;1
2 pokoje / przy parku / miejsce postojowe w cenie; Krzyki;2650;47.0;2
Nowe 2 pokojowe z ogródkiem, miejscem postojowym; Psie Pole;2900;37.0;2
* 3 pok*Rozkład*balkon*1.09*ul.Krynicka; Krzyki;3000;67.0;3
Nowoczesna kawalerka na Psim Polu. BEZ PROWIZJI; Psie Pole;2050;27.0;1
Nowy Apartament Z Balkonem W Centrum, Nad Odrą; Śródmieście;3500;45.0;2
Wyjątkowy Loft 100 m2* Taras na dachu* od 26.07; Fabryczna;3900;100.0;2
Mieszkanie, Port Popowice, parking, taras; Fabryczna;4400;51.0;2
Mieszkanie 2 pokojowe / pl. Bema / centrum; Nadodrze;2800;43.0;2
Mieszkanie 3 osobne pokoje balkon i parking Oporów; Fabryczna;3500;70.0;3
2 pok | | Nowe Żerniki | Balkon; Fabryczna;3500;45.0;2
POLECAMY do wynajęcia rozkładowe, 2pok Szczepin; Stare Miasto;2500;40.0;2
Mieszkanie, 53 m², Wrocław; Psie Pole;2500;53.0;2
Kawalerka Wysoka, Chabrowa; Chabrowa;1800;31.0;1
Prawie Dom, P. Szczytnicki, Wuwa, Parking, Biskupi; Śródmieście;4000;75.0;3
M4, parter - idealne pod dziazłaność!; Śródmieście;7000;100.95;4
okolice Legnickiej/ 3 pokoje/ balkon/od zaraz; Fabryczna;2700;50.0;3
Gwiaździsta Centrum Południowe 2-pokoje; Śródmieście;3400;36.0;2
Nowe 3pok.mieszkanie,wysoki standard,Orody Grabisz; Krzyki;5100;73.0;3
Polecam2pok.mieszkanie z garażem, Przyjaźni; Krzyki;2800;43.0;2
3 pokoje w rozkładzie na Gądowie!!; Fabryczna;3990;61.8;3
Mieszkanie 2-pokojowe Jagodno; Krzyki;2500;42.0;2
Apartament z widokiem na Odrę, Księcia Witolda; Stare Miasto;6500;62.0;3
Apartament na Ołtaszynie 5pokoi 96,5m2 - dwa balko; Krzyki;6500;96.5;5
Unikatowy apartament z widokiem na Odrę, 3pok.,; Stare Miasto;14000;97.0;3
Wyjątkowe dwa pokoje na Borku - garaż, trzy tarasy; Krzyki;3600;62.5;2
3 Pokojowy Apartament 55m2 na Oporowie 1 Najem; Fabryczna;4000;55.0;3
Nowy apartament 2pok., Młyn Maria; Stare Miasto;5500;47.0;2
3 pokoje najem za rozsądną cenę; Krzyki;3000;69.0;3
3 Pokoje, 2 Miejsca Postojowe, Komórka, Balkon 8M2; Krzyki;3500;68.0;3
Luksusowy apartament 2-poziomowy blisko Parku Płd.; Krzyki;18000;230.0;5
Wyjątkowe lux 2pok. 86m2, Ogrody Graua; Śródmieście;7000;86.0;2
Sky Tower 45 piętro najem długoterminowy; Krzyki;15000;106.0;3
Wyjątkowy apartament z widokiem na Odrę!; Stare Miasto;4000;50.0;2
Lux Penthouse, Rynek, Centrum, Piękny widok !!!!!!; Stare Miasto;7400;100.0;3
Mieszkanie 4pok. Awicenny, Oporów; Fabryczna;4500;71.0;4
Ładne Mieszkanie Na Partynicach; Krzyki;4500;70.0;3
2-pok. balkon, garaż - Kępa - Dmowskiego, od zaraz; Stare Miasto;3000;46.0;2
Komfortowe mieszkanie na Stabłowicach; Fabryczna;3700;57.0;3
Mieszkanie 2-pok | Parking | Idzikowskiego; Fabryczna;3100;52.0;2
Klimatyzowane 3 pokoję z windą, ul Ruska Ua/En; Stare Miasto;4200;56.0;3
2 pokoje, balkon, Centrum Południowe, Faktura Vat; Krzyki;3500;50.0;2
Nowe 2 pokoje w wysokim standardzie centrum; Śródmieście;3800;37.0;2
Przestronna kawalerka przy ul. Legnickiej/Stacyjne; Stare Miasto;2100;30.0;1
Pierwszy Najem*Ul.Zarembowicza*Studio; Fabryczna;2000;24.49;1
Super Lokalizacja / Rondo Powstań / Osobne Pokoje; Krzyki;3000;63.0;3
Wynajmę mieszkanie 2 pokojowe ul Oławska; Stare Miasto;3500;64.0;2
2 pokoje z balkonem / Psie Pole; Psie Pole;2300;43.0;2
POLECAMY Klimatyczne mieszkanie ok70m2 Rynek; Stare Miasto;3300;70.0;3
Mieszkanie 4 pokoje Wrocław Popowice wynajem; Fabryczna;5000;65.0;4
3pok#olimpia port#garaż#balkon; Psie Pole;3300;60.0;3
Mieszkanie - 2 poziomowe - Oporow, Wroclaw; Fabryczna;3500;62.0;2
Do wynajęcia mieszkanie 3-pokojowe ul. Łubinowa; Krzyki;4900;88.0;3
Do wynajęcia mieszkanie 2 pokoje Plac Grunwaldzki; Śródmieście;3200;37.0;2
Ołtaszyn - 3 Pokoje 80m2- Garaż - Taras / Bielany; Krzyki;3300;80.33;3
Apartament do wynajęcia, 230m – Krzyki/Borek !!!; Krzyki;16900;230.0;5
4 | przy Grunwaldzie | balkon; Śródmieście;4500;90.0;4
Śródmieście*Pl. Bema 2 Pokoje*Umeblowane; Śródmieście;4000;36.0;2
LUX STANDARD✅Klimatyzowany Apartament Obok Rynku✅; Stare Miasto;5300;40.0;2
RYNEK✅KLIMATYCZNY Apartament z Widokiem na Ratusz✅; Stare Miasto;4000;67.0;2
Platinum Apartamenty, Wrocław, Stare Miasto; Stare Miasto;4000;60.0;2
*ul. Chopina*3 pokoje*117m2*2 miejsca postojowe*; Śródmieście;5500;117.0;3
Nowa kawalerka, Port Popowice, bez pośredników; Fabryczna;2500;25.0;1
Super Apartment w centrum z tarasem i klimatyzacją; Śródmieście;3200;47.0;2
Przestronne, 3-pokojowe mieszkanie, w pełni umeblo; Psie Pole;3500;80.0;3
Mieszkanie - Wrocław Krzyki; Krzyki;11500;112.0;4
Nowoczesne 3 pokojowe z dużym ogrodem!; Fabryczna;3600;57.39;3
Apartament w Którym Odpoczniesz Bezpośrednio Polec; Śródmieście;3800;45.0;2
Wrocław, Dmowskiego 19 c. Mieszkanie 38 m2; Stare Miasto;3200;38.0;2
Obornicka / 2 pokoje / balkon / klima / garaż; Psie Pole;3000;47.0;2
Mieszkanie Skarbowców Krzyki - Partynice. Zachęcam; Krzyki;2500;45.0;2
Grabiszyńska 3 pokojowe z balkonem; Fabryczna;2300;52.0;3
Mieszkanie dwupokojowe, boczna Nowowiejska.; Śródmieście;2700;55.0;2
Centrum, ul. Odrzańska, 3 pokoje, od 01.08; Stare Miasto;3400;85.0;3
Rynek, 3 osobne pokoje, od Zaraz; Stare Miasto;3500;50.0;3
Mieszkanie na wynajem Komedy Jagodno Krzyki; Krzyki;3200;60.0;3
Wynajmę nowe 3 pokoje na Kozanowie; Fabryczna;3700;62.0;3
Loft przy fosie- ekskluzywny apartament; Wrocław;7000;46.0;2
Media Miejskie - Osobna Kuchnia - Pl. Grunwaldzki; Śródmieście;3000;46.0;3
Centrum, ul. Czysta, apart 3 - pokoje + parking; Śródmieście;5000;67.0;3
Dwupokojowe mieszkanie z balkonem, Gądów, 51mkw; Fabryczna;2800;51.0;2
apartament dwupokojowy z aneksem kuchennym i łaź.; Stare Miasto;3100;57.54;2
przy Parku Tołpy - 2 pokojowe, wysoki standard; Śródmieście;2300;35.0;2
Оренда двокімнатної квартири; Śródmieście;3500;62.0;2
Ekskluzywne | 3 pok. | Kurkowa | garaż | od 01.08; Śródmieście;3700;60.0;3
Ładne 2 Pokoje | Krzyki / Piękna | Od Sierpnia; Krzyki;2250;33.0;2
GOTOWE mieszkanie 68,3m2, OGRÓDEK 131m2,2 wejścia; Krzyki;9400;68.3;3
Mieszkanie, 33 m², Wrocław; Psie Pole;2200;33.0;2
Apartament naprzeciwko Galerii Dominikańskiej; Stare Miasto;4800;66.0;2
Apartament naprzeciwko Galerii Dominikańskiej; Stare Miasto;4800;66.0;2
Nowe! 3-pokojowe z balkonem i garażem/Olimpia Port; Psie Pole;3600;54.0;3
Piękna kawalerka blisko centrum - od 1.08.2022; Fabryczna;2900;29.0;1
Mieszkanie, 50 m², Wrocław; Krzyki;2800;50.0;2
Wrocław Kawalerka; Śródmieście;2950;39.0;2
Apartament na wynajem, od zaraz! Kukuczki; Krzyki;4500;60.0;3
