Name;Localisation;Price;Area
Piękna kawalerka/ Zakładowa/ Rychtalska/Miejsce postojowe;Fabryczna;2300;30
Nowoczesne, w pełni wyposażone mieszkanie blisko cetrum;Krzyki;2900;45
Przestronne 3 pok mieszkanie na Krzykach *ul.Przyjaźni * klecina*;Krzyki;3600;73
Kościuszki, pierwszy najem, 3 pokoje + garaż;Krzyki;3500;47.23
3 POK mieszkanie na Krzykach **ul. Schuberta**Balkon**parking;Krzyki;3500;67
Kawalerka przy Magnolii 20 m2;Fabryczna;2050;20
Borek, Hallera 3 Pokoje, klimatyzacja;Krzyki;3800;68
Rezerwacja - nie dzwonić przed 12.09;Stare Miasto;2500;35
Mieszkanie,3-pokojowe z garażem, Jagodno;Krzyki;3700;65
Mieszkanie 100m od rynku, ul Kotlarska;Stare Miasto;2500;37
Kawalerka w centum miasta (Kościuszki/Świstackiego);Śródmieście;2500;30
Mieszkanie dla trzech studentów;Stare Miasto;2900;64
OKAZJA _ODRA HOUSE _ z klubem Fitness i GARAŻEM;Stare Miasto;3100;55
Kawalerka przy Magnolii 20 m2;Fabryczna;2050;20
Nowoczesne, w pełni wyposażone mieszkanie blisko cetrum;Krzyki;2900;45
Mieskzanie 2 pokoje, jedności narodowej;Śródmieście;2800;41
Mieszkanie 2 pokojowe Wrocław Kuźniki bezpośrednio;Fabryczna;3000;46
Wynajmę piękne mieszkanie dwupokojowe w centrum;Wrocław;3440;52.40
Mieszkanie 1 pokoj 33m2 ul. Goslawicka;Fabryczna;1700;33
Wynajem mieszkania we Wrocławiu;Stare Miasto;3000;37
Wynajmę piękne mieszkanie dwupokojowe  w centrum Wrocławia;Stare Miasto;3440;52.40
Mieszkanie 2 pokoje Wrocław Muchobór Mały;Fabryczna;2500;32
Wynajmę apartament 4 pokoje Wrocław ul. Litewska;Psie Pole;3899;72
KOMFORTOWE 3 pokoje /Skrzydlata / Gądów Mały;Fabryczna;3000;54
Przestronna kawalerka z dużymi szafami ul. Opolska 121;Krzyki;2250;31
3 pokoje/ 63 m2/ Grabiszyńska/blisko parku/ obniżka ceny!!!;Fabryczna;3300;63
Mieszkanie 46m z ogródkiem Wrocław ul. Rybnicka (osiedle zamknięte);Krzyki;3000;46
Wynajmę bardzo ładna kawalerkę, Brodatego Wrocław;Śródmieście;2100;30
Jagodno, ul. Drabika, 2 pok. 40m + balkon, NOWE;Krzyki;2800;40
mieszkanie Starter Mikroapartament Wrocław Pasteura Pasaż Grunwaldzki;Śródmieście;1500;12
Mieszkanie 2 pok. 50m2 Plac Grunwaldzki, ul. Piwna;Śródmieście;2900;50
mieszkanie Starter Mikroapartament Wrocław Pasteura Pasaż Grunwaldzki;Śródmieście;1500;12
Wynajem 2-pokoje;Fabryczna;1900;40
2 pokoje_balkon_Pierwszy_Najem!_Blisko_Centrum;Fabryczna;3500;45.09
2 pokoje od 01.10.22! Bez pośredników i prowizji.Pełen rozkład.Klima;Krzyki;3500;49
2 Pokoje z ogródkiem - Pretficza, Wrocław;Krzyki;3000;50
Sępolno Biskupin Grunwaldzki Politechnika kawalerka pokój;Śródmieście;2400;20
Mieszkanie 2 pokojowe na wynajem Gliniana [REZERWACJA do 07.09.];Krzyki;2600;47
Komfortowa kawalerka30m2, od października;Psie Pole;2600;30
Dwupokojowe mieszkanie, Śródmieście/Ołbin ul. Daszyńskiego;Śródmieście;2900;35
Apartament 3 pok. 85,5mkw CENTRUM + m. parkingowe podziemne;Stare Miasto;3500;85
Jagodno, ul. Drabika, 2 pok. 40m + balkon, PIERWSZY NAJEM;Krzyki;2800;40
Słoneczna kawalerka z balkonem przy pl. Grunwaldzkim - wysoki standard;Śródmieście;2000;25
Mieszkanie dla pracowników budowlanych 44m2;Psie Pole;2400;44
Najmę kawalerkę lub pokój we Wrocławiu.;Stare Miasto;1200;12
Wrocław Centrum, ok. Placu Grunwaldzkiego 2-pok, 76m2;Śródmieście;3900;76
Wynajmę mieszkanie 3 pokojowe  ul. Rychtalska.(możliwość Faktury Vat);Śródmieście;4500;69
Ul. Pawłowa , Tęczowa , Przytulne mieszkanie w centrum 36m2 !;Stare Miasto;2100;36
2 pokojowy apartament plac Kościuszki;Stare Miasto;4000;45
wynajmę pokój dla kobiety 970 zł/mc;Stare Miasto;970;17
2-pokojowe mieszkanie, ul. Powstańców Śląskich;Krzyki;2200;32.40
Blisko Uniw. Ekonom. i Medyczn WYNAJMĘ 2-pok mieszkanie STUDENTOM/TKOM;Krzyki;2490;39
kawalerka ul. Rogowska /Nowy Dwór;Fabryczna;2000;25.50
2 pokoje, Most Pokoju, ogrzewanie miejskie, piękny widok, centrum;Stare Miasto;2600;58
3 pokoje/ 58 m2/ Gaj/ Aqua Park;Krzyki;3400;58
Port Popowice - 2 pokoje - apartament na wynajem;Fabryczna;5900;50
ul. Grabiszyńska kawalerka;Stare Miasto;1800;25.50
Wynajmę mieszkanie 2-pokojowe Wrocław;Fabryczna;2500;43
Przytulna kawalerka plac Bema/Wyspa Słodowa;Śródmieście;2200;38
Kawalerka blisko Rynku i Odry ul. Cybulskiego;Stare Miasto;1750;15
2pok. A.Nobla Blisko Centrum Przyjazne dla zwierząt;Śródmieście;2500;37.75
Wrocław - Bezpośrednio, 76m dla 4 studentów;Fabryczna;3000;76
Mieszkanie 2 pokoje - ul. Jesionowa 47 Wrocław Krzyki;Krzyki;3000;44
Wynajmę mieszkanie 2 pokojowe 37m2 - Centrum Wrocławia;Stare Miasto;3000;37
Dwupokojowe mieszkanie z klimatyzacją i balkonem, Jagodno ul. Buforowa;Krzyki;3000;37
Legnicka, Popowice, Magnolia - bez pośredników;Fabryczna;3100;38
KAWALERKA | GRABISZYŃSKA/FAT | blisko Park Grabiszyński;Fabryczna;1800;30
Przestronne mieszkanie w kamienicy;Stare Miasto;4700;93
Mieszkanie 2-pokojowe przy Pasażu Grunwaldzkim (rozkładowe, 56 m2);Śródmieście;2650;56
Wynajmę mieszkanie w Apartamentach Strzegomskich - NIEAKTUALNE;Stare Miasto;2000;32
Kawalerka o wynajęcia. Widok na Odrę. 10 minut do Centrum;Psie Pole;2900;30
Wynajme mieszkanie 3 pokojowe plac grunwaldzki;Śródmieście;4000;76
Kawalerka Zakładowa;Śródmieście;2180;17
2 pokoje / 36m2 / ul Dokerska;Fabryczna;2500;36
Mieszkanie Wrocław Rynek Dwa Pokoje;Stare Miasto;3500;64
Nowe mieszkanie dwupokojowe, idealne dla pary.;Śródmieście;3200;43
Mieszkanie 3-pokojowe z klimatyzacją i widokiem na Wzgórze Gajowe;Krzyki;3300;60
do wynajęcia Browar Piastowski Loft 3p z ogródkiem   i garażem;Śródmieście;5000;60
2-pokojowe na Popowicach;Stare Miasto;2600;40
Wynajmę 66mkw, 2 pok. -widok na rzekę- lux -Wrocław, ul. Kurkowa!;Śródmieście;7000;66
Wynajmę lux 4 pok., 90mkw - Wrocław ul. Poniatowskiego!;Śródmieście;9000;90
Kamienna - zadbana kawalerka przy Uniwersytecie Ekonomicznym;Krzyki;2250;28
atrakcyjna kawalerka, al. Kochanowskiego;Śródmieście;2450;25
Wynajem mieszkania 54 m kw (2 pokoje) - Wrocław Fabryczna;Fabryczna;2900;54
2pok. nowe bud., Królewiecka/PILCZYCKA, 2990zł za CAŁOŚĆ z Internetem!;Fabryczna;2550;42
Kawalerka od zaraz;Stare Miasto;1700;27
3-pokojowe mieszkanie ul. Motylkowa Ołtaszyn;Krzyki;3400;55
2-pokojowe rozkładowe mieszkanie ul. Ładna;Śródmieście;2800;58
Mikrokawalerka Głogowska/ obok Legnickiej;Fabryczna;1900;16
Nowe mieszkanie na wynajem, wysoki standard, 2 pok, Angel City;Krzyki;5000;48
mieszkanie 3 pokoje, zatorska, zakrzów,  wysoki standard.;Psie Pole;3000;54
Mieszkanie -4 pokoje, 70m2  -Prądzyńskiego- Krzyki;Krzyki;3500;70
Mieszkanie 2-pok,balkon,m.postojowe;Krzyki;3000;35
Kawalerka, okolice Rynek CO+CW miejskie, 2400zł opłaty wliczone;Stare Miasto;2400;18
M 3-pokojowe dla studentów lub rodziny. Balkon.;Stare Miasto;4200;55
"""Kawalerka ul. Zwycięska / Agrestowa Wrocław";Krzyki;2800;33
Wrocław, Śródmieście, 2p+k, 4os, 55m2, winda, agd, Mosbacha;Śródmieście;3750;55
Nadodrze, Pomorska, 83 m2, 4 pokoje, 2 łazienki, wyposażenie, garaż;Stare Miasto;5000;83
Pokoje dla pracowników 14 miejsc Psie Pole blisko S8 [om41];Psie Pole;1050;70
Mieszkanie dla pracowników firm, blisko S8, Psie Pole;Psie Pole;750;100
Prestiżowy Apartament - 77 m2 przy ul. Krzyckiej;Krzyki;5800;77
kawalerka z balkonem centrum;Stare Miasto;2000;30
Wynajmę bardzo ładna kawalerkę, Brodatego Wrocław;Śródmieście;2100;30
Piękna kawalerka/ Zakładowa/ Rychtalska/Miejsce postojowe;Fabryczna;2300;30
Mieszkanie na wynajem Wroclaw;Krzyki;3000;44.90
2 pokoje Angel City garaż siłownia i SPA, 7 piętro;Stare Miasto;4100;48
Mieszkanie dwupokojowe do wynajęcia, bez pośredników;Fabryczna;3000;37
Powstańców Śląskich - 2 rozkładowe pokoje, oddzielna kuchnia;Krzyki;2400;50
Apartament, 2pok. Kępa Mieszczańska / Dmowskiego, 5min. do Rynku!;Stare Miasto;3200;52
Mieszkanie 3-pok | Winda | Rozkład | Traugutta;Krzyki;3800;73
3pok. 71m2, rozkład, PLAC BEMA, doskonała lokalizacja!;Śródmieście;3050;71
Mieszkanie dwupokojowe dla pary lub studentow ,studentek. Zeromskiego;Śródmieście;2500;54
Jagodno, ul. Drabika, 2 pok. 40m + balkon, PIERWSZY NAJEM;Krzyki;2800;40
Mieszkanie do wynajęcia Psie Pole ul Mulicka;Psie Pole;2600;44
Mieszkanie 3-pokojowe z klimatyzacją i widokiem na Wzgórze Gajowe;Krzyki;3300;60
Kawalerka w centrum Wrocławia Do wynajęcia;Śródmieście;2300;30
Kleczkowska 47 nowe 2 pok, 2 miejsca postojowe 3500zł;Psie Pole;3500;48
3 pok. + m.postojowe, Wrocław Żmudzka;Psie Pole;3600;62.20
Mieszkanie  Strefa LG -ul.Przyjażni, Wrocław;Krzyki;5600;85
Kawalerka Apartament Dąbrowskiego Wrocław Centrum PKP Rynek Grunwald;Stare Miasto;2500;28
Mieszkanie, 40 m², Wrocław;Stare Miasto;5500;40
2 pokoje, Sienkiewcza, 67m2 Bez pośredników;Śródmieście;5500;67
Rezerwacja oferta wycofana;Psie Pole;2600;53
2-pok. mieszkanie przy ul. Grabiszyńskiej;Stare Miasto;3000;40
Kawalerka od ZARAZ/ 17m2/ Port Popowice/ Magnolia/ Legnicka;Fabryczna;1700;30
NOWE 2-pokojowe mieszkanie w centrum + GARAŻ;Śródmieście;3900;40
Kawalerka na Krzykach;Krzyki;1950;30
Wynajem mieszkania we Wrocławiu;Stare Miasto;3000;37
Luxury Apartment | First Tenant | Closed Estate | 97m;Śródmieście;8500;97
Dwupokojowe mieszkanie, Śródmieście ul. Reja;Śródmieście;2600;32
Dwupokojowe mieszkanie, Śródmieście ul. Sępa-Szarzyńskiego;Śródmieście;2600;32
Mieszkanie dwupokojowe centrum Nadodrze;Stare Miasto;2750;40
Mieszkanie 2 pokojowe do wynajęcia - Smolec;Fabryczna;2500;39.32
wynajmę mieszkanie 2 pokojowe,47m2, z balkonem ,we Wrocławiu,Kozanów;Fabryczna;2300;62
M 36 m2 2 pok 3000 PLN Zielna Psie Pole;Psie Pole;3000;36
Duże mieszkanie*3pok*Balzaka*Oporów*Od zaraz*;Krzyki;3800;67
Wynajem mieszkania;Stare Miasto;1900;38
Wynajmę mieszkanie 3 pokojowe;Krzyki;4000;64
do wynajęcia Browar Piastowski Loft 3p z ogródkiem   i garażem;Śródmieście;5000;60
Kawalerka na Walońskiej / Angel River - najem do maja;Krzyki;2800;25
Apartament Grey’a na wynajem długoterminowy;Stare Miasto;5500;50
wynajem mieszkania ul. Ślężna, Wrocław;Krzyki;1900;45
Kawalwerka na Kozanowie ZAREZERWOWANE;Fabryczna;2000;27
Traugutta/Walońska 2 oddzielne sypialnie+kuchnia;Śródmieście;4000;44
Kawalerka rezerwacja do 08.09 proszę nie dzwonić i pisać;Stare Miasto;2500;25
Fajne mieszkanie na Szczepinie, bez pośredników;Stare Miasto;3000;52
W pełni rozkładowe 2 pokoje Wieczysta;Krzyki;3000;44
2 pokoje Nowa Manufaktura Kościuszki NOWE;Stare Miasto;3400;38
Atrakcyjne 2 pokoje w centrum przy Renomie;Stare Miasto;2600;47
2 pokoje, kuchnia, wejście przez ogród, bez opłat;Psie Pole;2500;38
Mieszkanie wynajem ul. Kłodnicka, boczna Kwiskiej, Wrocław;Fabryczna;3000;37
Dwupokojowe mieszkanie z klimatyzacją i balkonem, Jagodno ul. Buforowa;Krzyki;3000;37
2 pokoje, Most Pokoju, ogrzewanie miejskie, piękny widok, centrum;Stare Miasto;2600;58
Mieszkanie do wynajecia ul.Mosiężna;Stare Miasto;3500;52
Mieszkanie Jagodno Wynajem 2 pokoje  Internet Media;Krzyki;2300;37
Do wynajęcia 2 pokojowe mieszkanie w kamienicy na Nadodrzu (56m2);Stare Miasto;3300;56
Mieszkanie z widokiem na Odrę.;Psie Pole;4700;49.84
Mieszkanie z widokiem na Odrę.;Stare Miasto;4700;49.84
Mieszkanie do wynajęcia;Stare Miasto;3000;43
Apartament, ul. Biskupia, bardzo blisko rynku.;Stare Miasto;3000;48
Kawalerka z balkonem Apartamenty Strzegomska;Fabryczna;2000;35
Wynajmę mieszkanie;Fabryczna;3000;55
Wynajmę mieszkanie przy Wroclavii, 2 osobne pokoje 42m2;Stare Miasto;3500;42
Wynajmę bardzo ładna kawalerkę, Brodatego Wrocław;Śródmieście;2100;30
Walońska 7 / Angel River/ ogródek - do maja;Krzyki;3200;52
Kawalerka Apartament  Pułaskiego Wrocław Centrum PKP Rynek Grunwald;Stare Miasto;2200;19
Mieszkanie na wynajem, Swojczyce Murowana, 37m2, dwa pokoje,umeblowane;Psie Pole;2200;37
Mieszkanie dwupokojowe Krzyki;Fabryczna;2600;59
Mieszkanie 3-pokojowe/61 m/ ul. Iwaszkiewicza/ Wojszyce;Krzyki;3500;61
1 pokój 35 m2 Klecina osobna kuchnia REZERWACJA;Krzyki;2200;35
Mieszkanie Stabłowice - Główna, 2 pokojowe, 2 poziomowe;Fabryczna;3200;54.20
Do wynajęcia nowe 2-pok. w ok.Gagarina;Fabryczna;3000;42
Kawalerka do wynajęcia - Wrocław ul. Slubicka (boczna Legnickiej);Stare Miasto;1700;25
ŚLĘŻNA - 2 pokoje - GARAŻ - BALKON - Klima / KRZYKI;Krzyki;3600;53
RYNEK - 2 pokoje - TARAS - KLIMA - Garaż / STARE MIASTO;Stare Miasto;3600;48
Przytulna kawalerka 30m2 Biskupin Centrum Wrocław;Śródmieście;1800;30
kawalerka ul. Rogowska /Nowy Dwór;Fabryczna;2000;25.50
Mieszkanie 2pok,klimatyzacja,miejsce postojowe,Port Popowice;Stare Miasto;3000;41
Kawalerka, okolice Rynek CO+CW miejskie, 2400zł opłaty wliczone;Stare Miasto;2400;18
Mieszkanie 56m2 Nowowiejska Wrocław;Śródmieście;2700;56
Śliczna kawalerka z tarasem na Muchoborze Wielkim + garaż od 10.09;Fabryczna;2500;27
Mieszkanie na wynajem, osiedle Złotniki Opróczynska;Fabryczna;2500;38
Kawalerka do wynajęcia w centrum Wrocławia;Stare Miasto;2600;37
Przytulne mieszkanko na wrocławskim Biskupinie;Śródmieście;2000;51
3-pokojowe mieszkanie na Gaju róg (Orzechowa i Krynicka);Krzyki;3700;61
Mieszkanie 30m2 od października, (proszę dzwonić po 12.09.) ul. Piękna;Krzyki;2500;30
Elegancki apartament - Borek;Fabryczna;3200;42
Kawalerka Wrocław Fabryczna Muchobór;Fabryczna;2800;32
[WSTRZYMANE] Mieszkanie trzypokojowe Jednosci Narodowej;Śródmieście;4000;60
WYJĄTKOWY LOFT 100 m2* Taras na dachu* OD 15.09;Fabryczna;3700;100
Mikrokawalerka Głogowska/ obok Legnickiej;Fabryczna;1900;16
